,World Total,prc_daily_increase,T-3,R0_T-3,T-4,R0_T-4,T-5,R0_T-5,T-6,R0_T-6,T-7,R0_T-7,T-8,R0_T-8,pred_T-3,pred_T-4,pred_T-5,pred_T-6,pred_T-7,pred_T-8
2020-01-23,98.0,,,,,,,,,,,,,,98,98,98,98,98,98
2020-01-24,288.0,1.9387755102040818,,,,,,,,,,,,,288,288,288,288,288,288
2020-01-25,493.0,0.7118055555555556,,,,,,,,,,,,,493,493,493,493,493,493
2020-01-26,684.0,0.3874239350912778,98.0,6.979591836734694,,,,,,,,,,,684,684,684,684,684,684
2020-01-27,809.0,0.182748538011696,288.0,2.8090277777777777,98.0,8.255102040816327,,,,,,,,,809,809,809,809,809,809
2020-01-28,2651.0,2.276885043263288,493.0,5.377281947261663,288.0,9.20486111111111,98.0,27.051020408163264,,,,,,,2651,2651,2651,2651,2651,2651
2020-01-29,588.0,-0.7781969068276122,684.0,0.8596491228070176,493.0,1.1926977687626774,288.0,2.0416666666666665,98.0,6.0,,,,,588,588,588,588,588,588
2020-01-30,2068.0,2.5170068027210886,809.0,2.5562422744128552,684.0,3.0233918128654973,493.0,4.194726166328601,288.0,7.180555555555555,98.0,21.102040816326532,,,2068,2068,2068,2068,2068,2068
2020-01-31,1693.0,-0.1813346228239845,2651.0,0.6386269332327423,809.0,2.0927070457354757,684.0,2.4751461988304095,493.0,3.4340770791075053,288.0,5.878472222222222,98.0,17.275510204081634,1693,1693,1693,1693,1693,1693
2020-02-01,2111.0,0.24689899586532782,588.0,3.5901360544217686,2651.0,0.7963032817804602,809.0,2.6093943139678615,684.0,3.0862573099415203,493.0,4.281947261663286,288.0,7.329861111111111,2111,2111,2111,2111,2111,2111
2020-02-02,4749.0,1.24964471814306,2068.0,2.29642166344294,588.0,8.076530612244898,2651.0,1.7913994718973971,809.0,5.870210135970334,684.0,6.942982456140351,493.0,9.632860040567952,4749,4749,4749,4749,4749,4749
2020-02-03,3094.0,-0.348494419877869,1693.0,1.8275251033668045,2068.0,1.4961315280464216,588.0,5.261904761904762,2651.0,1.1671067521689928,809.0,3.8244746600741655,684.0,4.523391812865497,3094,3094,3094,3094,3094,3094
2020-02-04,4011.0,0.2963800904977376,2111.0,1.9000473709142587,1693.0,2.369167158889545,2068.0,1.9395551257253385,588.0,6.821428571428571,2651.0,1.5130139569973595,809.0,4.957972805933251,4011,4011,4011,4011,4011,4011
2020-02-05,3743.0,-0.06681625529793067,4749.0,0.7881659296694041,2111.0,1.7730933207010895,1693.0,2.2108682811577083,2068.0,1.8099613152804641,588.0,6.365646258503402,2651.0,1.4119200301772916,3743,3743,3743,3743,3743,3743
2020-02-06,3182.0,-0.14987977558108467,3094.0,1.0284421460892048,4749.0,0.6700357970098968,2111.0,1.50734249171009,1693.0,1.8795038393384524,2068.0,1.5386847195357833,588.0,5.41156462585034,3182,3182,3182,3182,3182,3182
2020-02-07,3574.0,0.1231929604022628,4011.0,0.8910496135627025,3094.0,1.1551389786683903,4749.0,0.7525794904190356,2111.0,1.693036475603979,1693.0,2.111045481393975,2068.0,1.7282398452611218,3574,3574,3574,3574,3574,3574
2020-02-08,2729.0,-0.2364297705651931,3743.0,0.7290943093775046,4011.0,0.6803789578658689,3094.0,0.8820297349709114,4749.0,0.5746472941671931,2111.0,1.2927522501184272,1693.0,1.6119314825753102,2729,2729,2729,2729,2729,2729
2020-02-09,3030.0,0.11029681201905461,3182.0,0.9522313010685104,3743.0,0.8095110873630778,4011.0,0.7554225878833208,3094.0,0.9793148028442146,4749.0,0.6380290587492103,2111.0,1.4353387020369492,3030,3030,3030,3030,3030,3030
2020-02-10,2612.0,-0.137953795379538,3574.0,0.7308337996642418,3182.0,0.8208673790069139,3743.0,0.6978359604595245,4011.0,0.6512091747693842,3094.0,0.8442146089204913,4749.0,0.5500105285323226,2612,2612,2612,2612,2612,2612
2020-02-11,2040.0,-0.21898928024502295,2729.0,0.7475265665078783,3574.0,0.5707890318970341,3182.0,0.6411062225015713,3743.0,0.5450173657493989,4011.0,0.5086013462976814,3094.0,0.6593406593406593,2040,2040,2040,2040,2040,2040
2020-02-12,419.0,-0.794607843137255,3030.0,0.1382838283828383,2729.0,0.1535360938072554,3574.0,0.11723559037493005,3182.0,0.1316781898177247,3743.0,0.11194229227892065,4011.0,0.10446272749937671,419,419,419,419,419,419
2020-02-13,15147.0,35.15035799522673,2612.0,5.799004594180705,3030.0,4.9990099009900995,2729.0,5.550384756320996,3574.0,4.238108561835478,3182.0,4.760213702074167,3743.0,4.046753940689286,15147,15147,15147,15147,15147,15147
2020-02-14,6517.0,-0.5697497854360599,2040.0,3.194607843137255,2612.0,2.495022970903522,3030.0,2.1508250825082507,2729.0,2.388054232319531,3574.0,1.823447118074986,3182.0,2.048082966687618,6517,6517,6517,6517,6517,6517
2020-02-15,2145.0,-0.6708608255332208,419.0,5.119331742243436,2040.0,1.0514705882352942,2612.0,0.8212098009188361,3030.0,0.7079207920792079,2729.0,0.7860021986075486,3574.0,0.6001678791270285,2145,2145,2145,2145,2145,2145
2020-02-16,2194.0,0.022843822843822803,15147.0,0.1448471644550076,419.0,5.236276849642005,2040.0,1.0754901960784313,2612.0,0.8399693721286371,3030.0,0.7240924092409241,2729.0,0.8039574935873947,2194,2194,2194,2194,2194,2194
2020-02-17,2034.0,-0.07292616226071102,6517.0,0.31210679760626053,15147.0,0.13428401663695783,419.0,4.854415274463007,2040.0,0.9970588235294118,2612.0,0.7787136294027565,3030.0,0.6712871287128713,2034,2034,2034,2034,2034,2034
2020-02-18,1878.0,-0.07669616519174038,2145.0,0.8755244755244755,6517.0,0.2881694030995857,15147.0,0.12398494751435928,419.0,4.4821002386634845,2040.0,0.9205882352941176,2612.0,0.718989280245023,1878,1878,1878,1878,1878,1878
2020-02-19,503.0,-0.7321618743343983,2194.0,0.2292616226071103,2145.0,0.2344988344988345,6517.0,0.07718275280036827,15147.0,0.03320789595299399,419.0,1.2004773269689737,2040.0,0.2465686274509804,503,503,503,503,503,503
2020-02-20,558.0,0.1093439363817097,2034.0,0.2743362831858407,2194.0,0.2543299908842297,2145.0,0.2601398601398601,6517.0,0.08562221881233696,15147.0,0.0368389780154486,419.0,1.331742243436754,558,558,558,558,558,558
2020-02-21,626.0,0.12186379928315416,1878.0,0.3333333333333333,2034.0,0.3077679449360865,2194.0,0.2853236098450319,2145.0,0.29184149184149183,6517.0,0.0960564676998619,15147.0,0.04132831583811976,626,626,626,626,626,626
2020-02-22,1756.0,1.8051118210862618,503.0,3.4910536779324057,1878.0,0.9350372736954207,2034.0,0.8633235004916421,2194.0,0.8003646308113036,2145.0,0.8186480186480186,6517.0,0.26944913303667334,1756,1756,1756,1756,1756,1756
2020-02-23,386.0,-0.7801822323462415,558.0,0.6917562724014337,503.0,0.7673956262425448,1878.0,0.2055378061767838,2034.0,0.18977384464110128,2194.0,0.17593436645396535,2145.0,0.17995337995337995,386,386,386,386,386,386
2020-02-24,603.0,0.5621761658031088,626.0,0.963258785942492,558.0,1.0806451612903225,503.0,1.1988071570576542,1878.0,0.3210862619808307,2034.0,0.29646017699115046,2194.0,0.2748404740200547,603,603,603,603,603,603
2020-02-25,845.0,0.40132669983416247,1756.0,0.48120728929384965,626.0,1.3498402555910542,558.0,1.514336917562724,503.0,1.679920477137177,1878.0,0.44994675186368477,2034.0,0.41543756145526056,845,845,845,845,845,845
2020-02-26,982.0,0.16213017751479297,386.0,2.5440414507772022,1756.0,0.5592255125284739,626.0,1.5686900958466454,558.0,1.7598566308243728,503.0,1.952286282306163,1878.0,0.5228966986155484,982,982,982,982,982,982
2020-02-27,1359.0,0.3839103869653768,603.0,2.253731343283582,386.0,3.5207253886010363,1756.0,0.7739179954441914,626.0,2.170926517571885,558.0,2.435483870967742,503.0,2.701789264413519,1359,1359,1359,1359,1359,1359
2020-02-28,1366.0,0.005150846210448812,845.0,1.616568047337278,603.0,2.2653399668325043,386.0,3.538860103626943,1756.0,0.7779043280182233,626.0,2.182108626198083,558.0,2.4480286738351253,1366,1366,1366,1366,1366,1366
2020-02-29,1891.0,0.384333821376281,982.0,1.9256619144602851,845.0,2.237869822485207,603.0,3.1359867330016584,386.0,4.898963730569948,1756.0,1.076879271070615,626.0,3.0207667731629395,1891,1891,1891,1891,1891,1891
2020-03-01,2358.0,0.24695928080380747,1359.0,1.7350993377483444,982.0,2.4012219959266803,845.0,2.7905325443786984,603.0,3.91044776119403,386.0,6.108808290155441,1756.0,1.3428246013667426,2358,2358,2358,2358,2358,2358
2020-03-02,1937.0,-0.1785411365564037,1366.0,1.41800878477306,1359.0,1.4253127299484916,982.0,1.9725050916496945,845.0,2.292307692307692,603.0,3.2122719734660032,386.0,5.018134715025907,1937,1937,1937,1937,1937,1937
2020-03-03,2534.0,0.3082085699535364,1891.0,1.3400317292437864,1366.0,1.8550512445095169,1359.0,1.8646063281824872,982.0,2.580448065173116,845.0,2.9988165680473373,603.0,4.202321724709784,2534,2534,2534,2534,2534,2534
2020-03-04,2280.0,-0.10023677979479084,2358.0,0.9669211195928753,1891.0,1.2057112638815441,1366.0,1.6691068814055636,1359.0,1.6777041942604856,982.0,2.3217922606924644,845.0,2.698224852071006,2280,2280,2280,2280,2280,2280
2020-03-05,2762.0,0.21140350877192993,1937.0,1.4259163655136808,2358.0,1.171331636980492,1891.0,1.4606028556319408,1366.0,2.0219619326500733,1359.0,2.0323767476085357,982.0,2.8126272912423627,2762,2762,2762,2762,2762,2762
2020-03-06,3902.0,0.4127443881245474,2534.0,1.5398579321231254,1937.0,2.014455343314404,2358.0,1.6547921967769297,1891.0,2.0634584875727127,1366.0,2.856515373352855,1359.0,2.8712288447387784,3902,3902,3902,3902,3902,3902
2020-03-07,4037.0,0.03459764223475137,2280.0,1.7706140350877193,2534.0,1.5931333859510655,1937.0,2.084150748580279,2358.0,1.7120441051738762,1891.0,2.134849286092015,1366.0,2.9553440702781844,4037,4037,4037,4037,4037,4037
2020-03-08,3974.0,-0.015605647758236363,2762.0,1.43881245474294,2280.0,1.7429824561403509,2534.0,1.568271507498027,1937.0,2.0516262261228704,2358.0,1.6853265479219677,1891.0,2.1015335801163406,3974,3974,3974,3974,3974,3974
2020-03-09,3766.0,-0.05234021137393052,3902.0,0.96514607893388,2762.0,1.3635047067342505,2280.0,1.6517543859649122,2534.0,1.4861878453038675,1937.0,1.9442436757872998,2358.0,1.5971162001696353,3766,3766,3766,3766,3766,3766
2020-03-10,5031.0,0.33590015932023376,4037.0,1.2462224424077286,3902.0,1.2893388006150692,2762.0,1.8215061549601739,2280.0,2.206578947368421,2534.0,1.9853985793212312,1937.0,2.597315436241611,5031,5031,5031,5031,5031,5031
2020-03-11,7273.0,0.445637050288213,3974.0,1.8301459486663312,4037.0,1.8015853356452811,3902.0,1.8639159405433112,2762.0,2.6332367849384504,2280.0,3.1899122807017544,2534.0,2.8701657458563536,7273,7273,7273,7273,7273,7273
2020-03-12,2478.0,-0.6592877767083735,3766.0,0.6579925650557621,3974.0,0.6235530951182687,4037.0,0.613822145157295,3902.0,0.6350589441312148,2762.0,0.8971759594496741,2280.0,1.0868421052631578,2478,2478,2478,2478,2478,2478
2020-03-13,16850.0,5.799838579499596,5031.0,3.349234744583582,3766.0,4.474243228890069,3974.0,4.240060392551586,4037.0,4.173891503591776,3902.0,4.318298308559713,2762.0,6.10065170166546,16850,16850,16850,16850,16850,16850
2020-03-14,10901.0,-0.3530563798219585,7273.0,1.4988312938264816,5031.0,2.166766050486981,3766.0,2.8945831120552312,3974.0,2.7430800201308507,4037.0,2.7002724795640325,3902.0,2.793695540748334,10901,10901,10901,10901,10901,10901
2020-03-15,11352.0,0.04137235116044402,2478.0,4.581113801452784,7273.0,1.5608414684449332,5031.0,2.2564102564102564,3766.0,3.014338821030271,3974.0,2.8565676899849017,4037.0,2.811989100817439,11352,11352,11352,11352,11352,11352
2020-03-16,14081.0,0.24039816772374922,16850.0,0.8356676557863502,2478.0,5.682405165456013,7273.0,1.9360648975663413,5031.0,2.798847147684357,3766.0,3.738980350504514,3974.0,3.543281328636135,14081,14081,14081,14081,14081,14081
2020-03-17,15615.0,0.10894112634045872,10901.0,1.4324373910650399,16850.0,0.9267062314540059,2478.0,6.301452784503632,7273.0,2.1469819881754435,5031.0,3.103756708407871,3766.0,4.146309081253319,15615,15615,15615,15615,15615,15615
2020-03-18,17768.0,0.13788024335574778,11352.0,1.565186751233263,10901.0,1.6299422071369598,16850.0,1.0544807121661721,2478.0,7.170298627925747,7273.0,2.4430083871854804,5031.0,3.5317034386801827,17768,17768,17768,17768,17768,17768
2020-03-19,27798.0,0.564497973885637,14081.0,1.9741495632412471,11352.0,2.4487315010570825,10901.0,2.5500412806164574,16850.0,1.64973293768546,2478.0,11.217917675544793,7273.0,3.8220816719373025,27798,27798,27798,27798,27798,27798
2020-03-20,29458.0,0.059716526368803535,15615.0,1.886519372398335,14081.0,2.092038917690505,11352.0,2.5949612403100777,10901.0,2.7023208879919274,16850.0,1.7482492581602374,2478.0,11.887812752219531,29458,29458,29458,29458,29458,29458
2020-03-21,32358.0,0.09844524407631194,17768.0,1.8211391265195858,15615.0,2.07223823246878,14081.0,2.2979901995596905,11352.0,2.8504228329809727,10901.0,2.9683515273828087,16850.0,1.9203560830860533,32358,32358,32358,32358,32358,32358
2020-03-22,,,,,,,,,,,,,,,49822,36310,37611,32680,31421,31994
2020-03-23,,,,,,,,,,,,,,,52797,56808,42797,36240,38974,33318
2020-03-24,,,,,,,,,,,,,,,57995,60200,66956,41237,43220,41328
2020-03-25,,,,,,,,,,,,,,,89296,66126,70955,64516,49180,45830
2020-03-26,,,,,,,,,,,,,,,94629,74204,77940,68369,76942,52149
2020-03-27,,,,,,,,,,,,,,,103944,116093,90594,75099,81536,81587
2020-03-28,,,,,,,,,,,,,,,160046,123026,103086,75848,89563,86459
2020-03-29,,,,,,,,,,,,,,,169604,135137,161278,84111,86970,94971
2020-03-30,,,,,,,,,,,,,,,186300,151645,170909,95708,107878,93904
2020-03-31,,,,,,,,,,,,,,,286851,237248,187734,149735,119630,97789
2020-04-01,,,,,,,,,,,,,,,303981,251416,218215,158677,136125,121298
2020-04-02,,,,,,,,,,,,,,,333906,276167,248302,174298,212968,134512
2020-04-03,,,,,,,,,,,,,,,514124,309903,388468,176036,225686,153059
2020-04-04,,,,,,,,,,,,,,,544826,484842,411666,195213,247903,239461
2020-04-05,,,,,,,,,,,,,,,598461,513795,452193,222130,240726,253761
2020-04-06,,,,,,,,,,,,,,,921465,564376,525612,347522,298597,278742
2020-04-07,,,,,,,,,,,,,,,976492,633319,598084,368274,331126,275612
2020-04-08,,,,,,,,,,,,,,,1072623,990826,935701,404529,376782,287015
2020-04-09,,,,,,,,,,,,,,,1651544,1049995,991578,408562,589475,356013
2020-04-10,,,,,,,,,,,,,,,1750168,1153362,1089194,453071,624676,394798
2020-04-11,,,,,,,,,,,,,,,1922464,1294254,1266037,515541,686173,449232
2020-04-12,,,,,,,,,,,,,,,2960064,2024858,1440599,806563,666308,702824
2020-04-13,,,,,,,,,,,,,,,3136829,2145775,2253814,854728,826487,744794
2020-04-14,,,,,,,,,,,,,,,3445635,2357017,2388404,938872,916526,818115
2020-04-15,,,,,,,,,,,,,,,5305327,2644944,2623531,948232,1042897,808929
2020-04-16,,,,,,,,,,,,,,,5622142,4138009,3049491,1051534,1631610,842396
2020-04-17,,,,,,,,,,,,,,,6175616,4385117,3469956,1196520,1729044,1044906
2020-04-18,,,,,,,,,,,,,,,9508743,4816811,5428740,1871953,1899260,1158740
2020-04-19,,,,,,,,,,,,,,,10076572,5405219,5752925,1983739,1844276,1318507
2020-04-20,,,,,,,,,,,,,,,11068563,8456455,6319273,2179029,2287637,2062802
